,segment_type,inventory_type,language,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
5052,Whole,Natural,hat,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
5053,Whole,Natural,hat,-,+,+,-,+,-,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,+,+
5054,Whole,Natural,hat,-,+,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+
5055,Whole,Natural,hat,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,+,-,-,+,+,-
5056,Whole,Natural,hat,-,+,+,+,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+
5057,Whole,Natural,hat,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,+,-
5058,Whole,Natural,hat,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
5059,Whole,Natural,hat,-,+,+,+,+,-,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,+,+
5060,Whole,Natural,hat,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-
5061,Whole,Natural,hat,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,+,-
5062,Whole,Natural,hat,-,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,+,-
5063,Whole,Natural,hat,-,-,+,-,-,-,-,-,-,-,+,+,+,+,-,-,-,+,-,-,-,+,-
5064,Whole,Natural,hat,-,-,-,+,+,-,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,+,-
5065,Whole,Natural,hat,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,-,-,+,-
5066,Whole,Natural,hat,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
5067,Whole,Natural,hat,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
5068,Whole,Natural,hat,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
5069,Whole,Natural,hat,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-
5070,Whole,Natural,hat,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
5071,Whole,Natural,hat,-,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-
5072,Whole,Natural,hat,+,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
5073,Whole,Natural,hat,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
5074,Whole,Natural,hat,-,+,+,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
5075,Whole,Natural,hat,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-
5076,Whole,Natural,hat,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
5077,Whole,Natural,hat,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-
5078,Whole,Natural,hat,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
5079,Whole,Natural,hat,+,+,+,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-
5080,Whole,Natural,hat,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,+,-
5081,Whole,Natural,hat,-,-,-,+,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
5082,Whole,Natural,hat,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,+,+,-
